Rank,Player Name,Age,Official Points,+/-,Tournaments Played,Dropping,Next Best,Country
33,Borna Coric,27,"1,214",+20,24,10,-,cro
34,Jordan Thompson,29,"1,211",-35,29,-,-,aus
35,Laslo Djere,28,"1,180",-10,24,25,10,srb
36,Felix Auger-Aliassime,23,"1,165",-130,22,45,-,can
37,Arthur Fils,19,"1,128",+50,25,-,-,fra
38,Matteo Arnaldi,23,"1,096",+5,24,-,-,ita
39,Roman Safiullin,26,"1,085",+5,22,26,-,rus
40,Sebastian Ofner,27,"1,076",-40,33,50,25,aut
41,Aslan Karatsev,30,"1,073",-,18,-,-,rus
42,Jack Draper,22,"1,071",-80,20,-,-,gbr
43,Daniel Evans,33,"1,066",-,27,10,-,gbr
44,Alejandro Tabilo,26,"1,040",-76,24,19,-,chi
45,Alexei Popyrin,24,"1,032",-55,23,25,10,aus
46,Miomir Kecmanovic,24,"1,030",-,31,45,10,srb
47,Gael Monfils,37,"1,027",+90,22,10,-,fra
48,Emil Ruusuvuori,24,"1,006",-35,25,180,20,fin
49,Zhizhen Zhang,27,"1,005",-1,26,-,-,chn
50,Dominik Koepfer,29,"1,002",-6,24,130,16,ger
51,Marcos Giron,30,"1,000",-15,28,-,-,usa
52,Dusan Lajovic,33,957,+30,24,45,-,srb
53,Lorenzo Sonego,28,955,+20,27,90,10,ita
54,Daniel Altmaier,25,951,-10,28,26,10,ger
55,Facundo Diaz Acosta,23,943,-20,27,-,-,arg
56,Yannick Hanfmann,32,940,+20,29,-,-,ger
57,Fabian Marozsan,24,929,+15,26,7,6,hun
58,Alexander Shevchenko,23,924,-76,33,-,-,kaz
59,Mariano Navone,23,899,-7,23,16,-,arg
60,Tomas Machac,23,891,+23,24,8,7,cze
61,Nuno Borges,27,887,-,29,26,10,por
62,Andy Murray,36,870,-15,27,10,10,gbr
63,Flavio Cobolli,21,865,-15,33,30,25,ita
64,Roberto Carballes Baena,30,851,+20,31,25,-,esp
65,Aleksandar Vukic,27,834,+33,30,26,7,aus
66,Christopher O'Connell,29,833,+14,31,18,16,aus
67,Pavel Kotov,25,823,+4,22,26,-,rus
68,Max Purcell,25,796,-,32,90,20,aus
69,Mackenzie McDonald,28,790,-25,26,45,10,usa
70,Jakub Mensik,18,781,+30,24,-,-,cze
71,Yoshihito Nishioka,28,778,-10,22,10,-,jpn
72,Jaume Munar,26,776,-,30,16,10,esp
73,Alex Michelsen,19,776,+22,27,16,7,usa
74,Arthur Cazaux,21,774,+5,27,30,8,fra
75,Luciano Darderi,22,771,-16,28,-,-,ita
76,Thiago Seyboth Wild,24,768,-52,24,-,-,bra
77,Botic van de Zandschulp,28,750,-,25,90,-,ned
78,Taro Daniel,31,742,-31,28,45,11,jpn
79,Pedro Cachin,28,739,-15,29,16,10,arg
80,Luca Van Assche,19,736,+40,26,125,10,fra
81,Rinky Hijikata,23,724,-30,29,-,-,aus
82,Arthur Rinderknech,28,723,+3,29,10,10,fra
83,Stan Wawrinka,38,717,-80,21,-,-,sui
84,Daniel Elahi Galan,27,712,+3,30,11,10,col
85,Alexandre Muller,27,709,+20,30,25,10,fra
86,Marton Fucsovics,32,692,-90,22,25,-,hun
87,Federico Coria,32,687,-,30,-,-,arg
88,Pedro Martinez,26,671,-16,29,40,16,esp
89,Hugo Gaston,23,662,-42,28,-,-,fra
90,Dominic Thiem,30,655,-,25,-,-,aut
91,Jurij Rodionov,24,651,+20,27,136,-,aut
92,Brandon Nakashima,22,650,+5,28,25,20,usa
93,Constant Lestienne,31,645,+39,36,-,-,fra
94,J.J. Wolf,25,640,-,24,25,10,usa
95,Juan Pablo Varillas,28,637,+75,25,85,-,per
96,Luca Nardi,20,623,+110,26,-,-,ita
97,Sumit Nagal,26,623,+20,25,-,-,ind
98,Aleksandar Kovacevic,25,616,-38,29,33,-,usa
99,Thiago Agustin Tirante,22,615,-1,25,75,7,arg
100,Roberto Bautista Agut,35,614,-,26,-,-,esp
101,Thanasi Kokkinakis,27,608,-1,24,33,9,aus
102,Maximilian Marterer,28,608,-29,21,-,-,ger
103,Fabio Fognini,36,601,+33,21,10,-,ita
104,Cristian Garin,27,590,-100,23,61,-,chi
105,Albert Ramos-Vinolas,36,588,-,31,-,-,esp
106,David Goffin,33,583,+30,29,-,-,bel
107,Corentin Moutet,24,577,-,28,-,-,fra
108,Zsombor Piros,24,575,+3,30,41,15,hun
109,James Duckworth,32,569,-,24,11,7,aus
110,Thiago Monteiro,29,564,+12,24,25,6,bra
111,Tomas Barrios Vera,26,558,-30,27,11,-,chi
112,Camilo Ugo Carabelli,24,558,+64,21,-,-,arg
113,Quentin Halys,27,535,-45,21,90,-,fra
114,Zizou Bergs,24,535,+22,22,-,-,bel
115,Francisco Comesana,23,533,-19,28,-,-,arg
116,Vit Kopriva,26,531,-17,25,45,-,cze
117,Duje Ajdukovic,23,528,-,27,-,-,cro
118,Dominic Stricker,21,527,-30,17,9,-,sui
119,Borna Gojo,26,522,-26,18,8,-,cro
120,Richard Gasquet,37,521,-17,34,25,10,fra
121,Gregoire Barrere,30,516,-,29,45,11,fra
122,Diego Schwartzman,31,513,-25,25,45,-,arg
123,Yosuke Watanuki,25,512,-,21,41,-,jpn
124,Juncheng  Shang,19,507,+42,20,-,-,chn
125,Michael Mmoh,26,507,-,19,-,-,usa
126,Denis Shapovalov,24,505,+20,21,45,-,can
127,Otto Virtanen,22,505,-,26,120,-,fin
128,Lukas Klein,25,502,+43,26,8,7,svk
129,Terence Atmane,22,494,+23,29,25,8,fra
130,Facundo Bagnis,34,492,+38,25,25,-,arg
131,Liam Broady,30,489,-3,26,60,-,gbr
132,Emilio Nava,22,488,+14,31,25,7,usa
133,Gabriel Diallo,22,488,-,25,65,-,can
134,Felipe Meligeni Alves,26,484,-,27,37,14,bra
135,Hamad Medjedovic,20,482,-50,18,7,-,srb
136,Zachary Svajda,21,479,+21,26,-,-,usa
137,Hugo Grenier,27,478,+23,24,75,-,fra
138,Benoit Paire,34,478,-87,37,26,8,fra
139,Mikhail Kukushkin,36,476,+12,23,9,-,kaz
140,Patrick Kypson,24,473,+30,24,1,-,usa
141,Harold Mayot,22,472,+13,28,25,-,fra
142,Matteo Berrettini,27,470,+48,15,10,-,ita
143,Shintaro Mochizuki,20,469,+21,21,-,-,jpn
144,Giulio Zeppieri,22,467,-,28,31,14,ita
145,Bernabe Zapata Miralles,27,457,-,28,10,-,esp
146,Valentin Vacherot,25,456,-,29,5,3,mon
147,Alex Molcan,26,451,-35,24,45,-,svk
148,Andrea Vavassori,28,450,-27,19,30,-,ita
149,Matteo Gigante,22,450,-,24,16,-,ita
150,Adam Walton,24,445,-,34,-,-,aus
151,Jesper de Jong,23,436,-33,22,34,-,ned
152,Pablo Llamas Ruiz,21,431,-,25,32,-,esp
153,Jason Kubler,30,426,-45,17,10,-,aus
154,Titouan Droguet,22,426,+41,25,4,3,fra
155,Radu Albot,34,425,-6,29,8,6,mda
156,Benjamin Hassan,29,422,+4,31,36,6,ger
157,Juan Manuel Cerundolo,22,417,+18,30,-,-,arg
158,Nicolas Moreno De Alboran,26,417,+30,26,11,3,usa
159,Damir Dzumhur,31,417,-4,25,7,-,bih
160,Pierre-Hugues Herbert,33,413,+5,21,30,-,fra
161,Roman Andres Burruchaga,22,408,+5,33,-,-,arg
162,Andrea Pellegrino,26,400,-10,22,11,-,ita
163,Denis Kudla,31,397,+55,24,10,-,usa
164,Stefano Napolitano,28,392,-1,26,-,-,ita
165,Giovanni Mpetshi Perricard,20,387,-1,28,2,-,fra
166,Filip Misolic,22,382,-8,23,8,-,aut
167,Marc Polmans,26,378,-,32,41,14,aus
168,Benjamin Bonzi,27,373,+2,30,-,-,fra
169,Jan Choinski,27,370,+3,34,45,-,gbr
170,Leandro Riedi,22,367,-29,19,-,-,sui
171,Sho Shimabukuro,26,365,-,22,-,-,jpn
172,Dalibor Svrcina,21,363,-,28,-,-,cze
173,Dino Prizmic,18,362,-15,20,16,-,cro
174,Yunchaokete Bu,22,357,+4,18,30,-,chn
175,Vitaliy Sachko,26,353,-18,27,25,-,ukr
176,Ivan Gakhov,27,351,-,26,91,-,rus
177,Rudolf Molleker,23,347,+23,35,16,4,ger
178,Elias Ymer,27,345,+3,27,-,-,swe
179,Mattia Bellucci,22,340,+5,32,-,-,ita
180,Marco Trungelliti,34,338,+44,29,16,6,arg
181,Billy Harris,29,338,+1,34,54,5,gbr
182,Lloyd Harris,27,336,-,23,-,-,rsa
183,Hugo Dellien,30,336,-63,31,-,-,bol
184,Denis Yevseyev,30,335,-6,27,3,1,kaz
185,Genaro Alberto Olivieri,25,332,-18,20,-,-,arg
186,Li Tu,27,330,+19,29,-,-,aus
187,Matteo Martineau,25,328,+9,30,-,-,fra
188,Maxime Cressy,26,325,-10,27,10,-,usa
189,Joris De Loore,30,323,-,21,-,-,bel
190,Stefano Travaglia,32,317,-4,30,16,-,ita
191,Beibit Zhukayev,23,316,-,23,21,-,kaz
192,Kimmer Coppejans,30,314,-16,21,50,-,bel
193,Kyrian Jacquet,22,312,-3,20,17,-,fra
194,Alexander Ritschard,29,309,+7,26,-,-,sui
195,Franco Agamenone,30,307,+6,24,-,-,ita
196,Mark Lajal,20,307,-,27,20,-,est
197,Milos Raonic,33,305,+30,9,-,-,can
198,Gijs Brouwer,28,300,+12,26,-,-,ned
199,Ugo Blanchet,25,299,-,24,-,-,fra
200,Nerman Fatic,29,299,-10,28,-,-,bih
201,Seongchan Hong,26,298,+30,26,-,-,kor
202,Clement Tabur,24,298,+23,27,-,-,fra
203,Oliver Crawford,24,296,-,28,-,-,gbr
204,Martin Damm,20,296,-,28,-,-,usa
205,Dane Sweeny,23,295,-,29,25,4,aus
206,Santiago Rodriguez Taverna,24,295,-10,33,-,-,arg
207,Oriol Roca Batalla,30,290,-14,33,9,-,esp
208,Omar Jasika,26,289,-5,29,-,-,aus
209,Marc-Andrea Huesler,27,288,-13,27,36,-,sui
210,Calvin Hemery,29,288,+4,25,7,-,fra
211,Daniel Rincon,21,285,-7,26,2,-,esp
212,Coleman Wong,19,285,-,27,-,-,hkg
213,Jozef Kovalik,31,284,+6,25,18,-,svk
214,Mate Valkusz,25,283,-7,19,-,-,hun
215,Ryan Peniston,28,283,-,28,-,-,gbr
216,Marco Cecchinato,31,281,-,22,-,-,ita
217,Ilya Ivashka,30,281,-45,17,25,-,blr
218,Dennis Novak,30,278,-,24,-,-,aut
219,Lukas Neumayer,21,278,-2,34,1,-,aut
220,Geoffrey Blancaneaux,25,277,-,30,8,-,fra
221,Alexis Galarneau,25,276,-9,22,-,-,can
222,Antoine Escoffier,32,276,-24,27,16,-,fra
223,Jules Marie,32,276,-22,33,-,-,fra
224,Goncalo Oliveira,29,271,-13,37,25,3,por
225,Gustavo Heide,22,269,+20,22,-,-,bra
226,Francesco Maestrelli,21,266,+22,30,-,-,ita
227,Francesco Passaro,23,265,+4,27,-,-,ita
228,Abdullah Shelbayh,20,265,-,31,4,-,jor
229,Murkel Dellien,26,265,+28,32,8,4,bol
230,Tristan Boyer,22,264,-2,21,-,-,usa
231,Enzo Couacaud,29,263,-,17,25,-,fra
232,Yu Hsiou Hsu,24,261,+4,21,-,-,tpe
233,Zdenek Kolar,27,261,+5,34,-,-,cze
234,Aziz Dougaz,26,261,-13,34,-,-,tun
235,Guido Pella,33,260,-25,10,25,-,arg
236,Federico Gaio,32,256,-31,25,30,-,ita
237,Juan Pablo Ficovich,27,256,+25,31,-,-,arg
238,Dimitar Kuzmanov,30,255,-,23,-,-,bul
239,Alejandro Moro Canas,23,254,-1,23,-,-,esp
240,Henri Squire,23,254,+50,32,16,2,ger
241,Alessandro Giannessi,33,253,-5,30,75,-,ita
242,Lucas Pouille,30,252,+50,14,-,-,fra
243,Steve Johnson,34,247,-,13,-,-,usa
244,Yasutaka Uchiyama,31,244,+6,22,-,-,jpn
245,Chun-Hsin Tseng,22,236,+79,19,7,-,tpe
246,Edoardo Lavagno,25,236,-13,30,18,1,ita
247,Manuel Guinard,28,232,+2,27,-,-,fra
248,Henrique Rocha,19,232,-,28,-,-,por
249,Tristan Schoolkate,23,231,-6,31,8,1,aus
250,Dmitry Popko,27,228,+28,26,-,-,kaz
251,Illya Marchenko,36,227,-39,22,-,-,ukr
252,Maxime Janvier,27,227,-2,31,32,-,fra
253,Ethan Quinn,20,226,+30,22,-,-,usa
254,Adrian Andreev,22,223,-16,30,7,-,bul
255,Nicholas David Ionel,21,223,-5,34,14,4,rou
256,Jason Jung,34,221,-,18,-,-,tpe
257,Liam Draxl,22,220,+36,16,-,-,can
258,Ricardas Berankis,33,219,-8,21,84,-,ltu
259,Yuta Shimizu,24,219,-44,24,3,-,jpn
260,Maks Kasnikowski,20,218,-,29,-,-,pol
261,Enrico Dalla Valle,25,217,-,29,5,2,ita
262,Alibek Kachmazov,21,215,-,25,9,2,rus
263,Thai-Son Kwiatkowski,29,215,+21,26,9,4,usa
264,Renzo Olivo,32,215,+20,27,11,2,arg
265,Arthur Fery,21,213,-,15,-,-,gbr
266,Gianluca Mager,29,213,-12,19,25,-,ita
267,Philip Sekulic,20,211,-,26,-,-,aus
268,Yibing Wu,24,210,-25,13,25,-,chn
269,Alex Bolt,31,209,+16,17,26,-,aus
270,Tung-Lin Wu,25,209,-41,21,-,-,tpe
271,Dragos Nicolae Madaras,26,207,-1,20,22,-,swe
272,Evgeny Donskoy,33,206,-,27,50,-,rus
273,Timofey Skatov,23,205,-,21,24,-,kaz
274,Andrea Collarini,32,204,+6,25,-,-,arg
275,Lucas Poullain,28,204,-14,26,20,2,fra
276,Mathias Bourgue,30,203,-,24,4,-,fra
277,Tristan Lamasine,31,201,-5,26,8,2,fra
278,Joao Sousa,34,200,-,20,7,-,por
279,Gauthier Onclin,23,200,-9,27,7,-,bel
280,Tennys Sandgren,32,199,-8,23,-,-,usa
281,August Holmgren,25,199,-,24,3,-,den
282,Mitchell Krueger,30,199,+6,26,-,-,usa
283,Giovanni Fonio,25,199,-6,33,20,4,ita
284,Jiri Vesely,30,198,-,17,-,-,cze
285,Nikolas Sanchez Izquierdo,25,197,-2,30,-,-,esp
286,Alvaro Guillen Meza,21,195,+2,28,-,-,ecu
287,Jaime Faria,20,194,+48,30,-,-,por
288,Brandon Holt,25,193,-,16,-,-,usa
289,Guido Andreozzi,32,193,-5,20,-,-,arg
290,Samuel Vincent Ruggeri,21,193,+6,30,-,-,ita
291,Valentin Royer,22,191,-,24,-,-,fra
292,Hady Habib,25,191,+14,29,-,-,lib
293,Clement Chidekh,22,190,+25,17,-,-,fra
294,Alexander Blockx,18,190,+12,21,-,-,bel
295,Matheus Pucinelli De Almeida,22,190,+6,26,-,-,bra
296,Michael Geerts,29,189,-13,33,43,3,bel
297,Mikael Ymer,25,187,-25,11,10,-,swe
298,Bernard Tomic,31,187,-,30,-,-,aus
299,Antoine Bellier,27,186,-,20,25,-,sui
300,Javier Barranco Cosano,25,186,-,23,3,-,esp
301,John Isner,38,185,-10,11,10,-,usa
302,Daniel Michalski,24,185,-4,22,-,-,pol
303,Marius Copil,33,183,-4,15,41,-,rou
304,Alexander Weis,26,183,-2,29,3,2,ita
305,Ergi Kirkin,25,182,+17,23,-,-,tur
306,Luke Saville,30,182,-8,25,8,-,aus
307,Aidan Mayo,20,182,-,27,6,-,usa
308,Daniel Masur,29,179,+48,23,8,-,ger
309,Pedro Sakamoto,30,179,+25,27,-,-,bra
310,Riccardo Bonadio,30,179,-21,28,-,-,ita
311,Filip Cristian Jianu,22,179,+27,39,-,-,rou
312,Marvin Moeller,25,175,-13,25,-,-,ger
313,Gastao Elias,33,174,-17,16,66,-,por
314,Oscar Otte,30,173,-25,17,10,-,ger
315,Blaise Bicknell,22,172,+2,19,-,-,jam
316,Vilius Gaubas,19,172,+16,24,3,-,ltu
317,Nick Hardt,23,170,+16,22,-,-,dom
318,Moez Echargui,31,170,-13,27,-,-,tun
319,Sebastian Fanselow,32,170,-,30,7,2,ger
320,Michael Vrbensky,24,169,+6,28,-,-,cze
321,Raul Brancaccio,26,168,-7,24,7,-,ita
322,Dan Added,24,168,-3,32,50,1,fra
323,David Jorda Sanchis,29,166,-,26,16,-,esp
324,Joao Lucas Reis Da Silva,23,166,-9,29,-,-,bra
325,Andrew Paulson,22,165,-,18,-,-,cze
326,Gonzalo Bueno,19,164,-11,23,-,-,per
327,Cezar Cretu,22,164,+9,26,4,1,rou
328,Timo Stodder,27,162,-,33,4,2,ger
329,Steven Diez,33,160,-18,31,2,-,can
330,Mathys Erhard,22,158,-1,32,-,-,fra
331,Khumoyun Sultanov,25,157,-,19,3,-,uzb
332,Maximilian Neuchrist,32,157,-,22,67,-,aut
333,Hazem Naw,24,157,-6,26,8,2,syr
334,Felix Gill,21,157,-,28,-,-,gbr
335,Hiroki Moriya,33,156,+8,21,-,-,jpn
336,Max Houkes,23,156,-,31,25,1,ned
337,Egor Gerasimov,31,154,+2,15,-,-,blr
338,Yanki Erel,23,154,-,25,-,-,tur
339,Salvatore Caruso,31,154,-9,30,9,2,ita
340,Toby Kodat,21,151,-1,23,8,-,usa
341,Joao Fonseca,17,149,-,11,-,-,bra
342,Norbert Gombos,33,149,-,19,20,-,svk
343,Guy Den Ouden,21,149,-1,20,-,-,ned
344,Francesco Forti,24,149,-,27,14,2,ita
345,Charles Broom,25,149,-,29,-,-,gbr
346,Federico Agustin Gomez,27,145,+2,29,-,-,arg
347,Federico Delbonis,33,144,-,14,-,-,arg
348,Omni Kumar,22,144,+7,26,-,-,usa
349,Aidan McHugh,23,144,-1,27,8,2,gbr
350,Laurent Lokoli,29,143,-,21,-,-,fra
351,Kei Nishikori,34,143,-,7,-,-,jpn
352,Gabriel Debru,18,142,-,22,-,-,fra
353,Nino Serdarusic,27,142,-28,27,7,-,cro
354,Frederico Ferreira Silva,29,141,-,24,7,-,por
355,Benjamin Lock,31,141,+4,33,2,-,zim
356,Gerard Campana Lee,19,140,+4,23,4,-,kor
357,Gilbert Klier Junior,23,139,-,16,-,-,bra
358,Jay Clarke,25,139,+4,19,-,-,gbr
359,Elmer Moller,20,138,-,22,4,-,den
360,Martin Landaluce,18,137,-1,27,-,-,esp
361,Yan Bai,34,136,-,21,-,-,chn
362,Rio Noguchi,25,136,-,26,-,-,jpn
363,Eric Vanshelboim,22,136,-2,26,19,4,ukr
364,Tim Handel,27,136,-,28,-,-,ger
365,Arthur Weber,31,135,-,24,2,-,fra
366,Kalin Ivanovski,19,135,-2,24,5,-,mkd
367,Altug Celikbilek,27,135,-1,25,20,-,tur
368,Mohamed Safwat,33,135,-1,29,2,1,egy
369,Carlos Sanchez Jover,23,134,-,26,-,-,esp
370,Damien Wenger,24,134,+12,29,2,1,sui
371,Orlando Luz,26,133,-1,22,-,-,bra
372,Mikalai Haliak,25,133,-,24,2,-,blr
373,Giovanni Oradini,26,133,-,25,-,-,ita
374,Karl Friberg,24,133,-,25,14,1,swe
375,Robert Strombachs,24,131,-13,26,4,1,lat
376,Marko Topo,20,130,+4,23,-,-,ger
377,Dominik Palan,23,129,-,24,-,-,cze
378,James McCabe,20,128,-41,24,2,-,aus
379,Louis Wessels,25,127,-,30,-,-,ger
380,George Loffhagen,22,126,+3,16,-,-,gbr
381,Mateus Alves,23,126,+4,19,25,-,bra
382,Hernan Casanova,30,126,-10,24,8,-,arg
383,Marat Sharipov,21,126,-3,26,15,1,rus
384,Alexis Gautier,26,126,-,29,-,-,fra
385,Martin Krumich,21,125,+2,18,-,-,cze
386,Alberto Barroso Campos,27,125,-,23,-,-,esp
387,Daniel Merida,19,125,-2,26,-,-,esp
388,Lorenzo Giustino,32,125,+1,28,7,-,ita
389,Yun seong Chung,25,124,-,18,-,-,kor
390,Cem Ilkel,28,123,-44,22,11,-,tur
391,Bogdan Bobrov,26,123,-,26,4,1,rus
392,Sandro Kopp,23,122,+12,26,-,-,aut
393,Akira Santillan,26,121,-,24,16,1,aus
394,Leo Borg,20,120,-2,25,-,-,swe
395,Remy Bertola,25,120,+2,27,2,1,sui
396,James Trotter,24,119,-,12,-,-,jpn
397,Jakub Nicod,19,119,+30,22,-,-,cze
398,Kyle Edmund,29,118,+3,21,10,-,gbr
399,Kamil Majchrzak,28,117,+17,7,-,-,pol
400,Blake Ellis,25,117,-,26,-,-,aus
401,Oleksii Krutykh,24,117,-4,27,7,-,ukr
402,Blake Mott,27,116,+1,17,-,-,aus
403,Naoki Nakagawa,27,115,-16,18,6,-,jpn
404,Skander Mansouri,28,115,-,26,7,-,tun
405,Yusuke Takahashi,26,114,-1,29,16,1,jpn
406,Cannon Kingsley,22,113,-,16,-,-,usa
407,Carlos Taberner,26,113,-,20,-,-,esp
408,Carlos Lopez Montagud,23,113,-,21,-,-,esp
409,Yshai Oliel,24,113,-,28,2,-,isr
410,Ramkumar Ramanathan,29,112,-,15,-,-,ind
411,Eduardo Ribeiro,26,111,+5,24,9,-,bra
412,Viktor Durasovic,26,111,+6,28,2,-,nor
413,Kilian Feldbausch,18,110,-,15,-,-,sui
414,Corentin Denolly,26,110,+4,22,-,-,fra
415,Alex Barrena,21,109,-,29,3,1,arg
416,Kris Van Wyk,27,109,-,33,3,1,rsa
417,Paul Jubb,24,108,-,19,-,-,gbr
418,Lucas Gerch,29,108,+2,19,-,-,ger
419,Christian Langmo,27,108,-14,24,9,-,usa
420,Svyatoslav Gulin,21,108,+4,25,-,-,rus
421,Jonas Forejtek,23,106,-,21,2,-,cze
422,Matej Dodig,18,106,-,21,17,1,cro
423,Sascha Gueymard Wayenburg,20,106,+3,27,22,-,fra
424,Peter Gojowczyk,34,105,-,15,-,-,ger
425,Vadym Ursu,27,105,+1,18,-,-,ukr
426,Tibo Colson,23,105,-1,23,3,-,bel
427,Mukund Sasikumar,27,105,-,23,8,-,ind
428,Nick Chappell,31,105,-1,27,-,-,usa
429,Matthew Dellavedova,23,105,+5,42,6,4,aus
430,Jerome Kym,21,104,-,12,-,-,sui
431,Learner Tien,18,104,-,13,-,-,usa
432,Roberto Cid Subervi,30,104,+1,20,1,-,dom
433,Pol Martin Tiffon,24,104,-31,24,2,-,esp
434,Kacper Zuk,25,104,-,25,41,-,pol
435,Valerio Aboian,21,104,+18,32,3,1,arg
436,Raphael Collignon,22,103,-,12,9,-,bel
437,Ignacio Buse,19,103,+8,21,2,-,per
438,Orel Kimhi,20,103,+4,24,4,-,isr
439,Gonzalo Villanueva,29,103,+2,27,-,-,arg
440,Colin Sinclair,29,102,-,20,3,-,nmi
441,Arthur Gea,19,101,+8,18,3,-,fra
442,Daniel Cukierman,28,100,+8,18,16,-,isr
443,Juan Bautista Torres,21,100,-10,20,11,-,arg
444,Nicolas Mejia,24,100,+3,20,33,-,col
445,Facundo Mena,31,100,+1,20,-,-,arg
446,Filip Krajinovic,32,99,-8,12,-,-,srb
447,Jie Cui,26,99,+13,18,-,-,chn
448,Nishesh Basavareddy,18,98,-,8,-,-,usa
449,Robin Bertrand,21,98,+1,33,2,1,fra
450,Julian Ocleppo,26,97,-3,13,6,-,ita
451,Fajing Sun,27,97,-,25,2,-,chn
452,Giles Hussey,26,97,+5,25,1,-,gbr
453,Blaz Rola,33,96,-,9,-,-,slo
454,Sebastian Gima,21,96,-,33,8,2,rou
455,Stefanos Sakellaridis,19,96,+7,41,-,-,gre
456,Lorenzo Rottoli,22,95,+1,23,19,-,ita
457,Maxime Chazal,30,94,-8,20,3,-,fra
458,Strong Kirchheimer,28,94,-16,20,8,-,usa
459,Miguel Damas,24,94,+2,21,3,-,esp
460,Luciano Emanuel Ambrogi,20,94,-2,23,-,-,arg
461,Daniil Glinka,23,94,+3,29,2,1,est
462,Pedro Boscardin Dias,21,93,-,21,-,-,bra
463,Filip Peliwo,30,93,-2,28,-,-,pol
464,Makoto Ochi,27,92,+1,27,-,-,jpn
465,Marcello Serafini,21,92,-,30,-,-,ita
466,Saba Purtseladze,22,92,-1,33,4,2,geo
467,Toby Samuel,21,91,-,13,-,-,gbr
468,Sanhui Shin,27,91,-,19,-,-,kor
469,Daniel Cox,33,91,-1,20,11,-,gbr
470,Anton Matusevich,22,90,-,19,-,-,gbr
471,Max Hans Rehberg,20,90,-,19,11,-,ger
472,Adolfo Daniel Vallejo,19,90,-2,22,-,-,par
473,Eliakim Coulibaly,21,90,-7,23,8,1,civ
474,Hynek Barton,19,89,+2,25,-,-,cze
475,Rigele Te,26,88,+1,19,3,-,chn
476,Elmar Ejupovic,31,87,-9,27,9,-,ger
477,Bruno Kuzuhara,19,87,-,31,-,-,usa
478,Hamish Stewart,24,86,+2,21,2,-,gbr
479,Matija Pecotic,34,85,-,7,-,-,cro
480,Garrett Johns,23,85,-,18,-,-,usa
481,Imanol Lopez Morillo,24,85,-,22,-,-,esp
482,Gilles Arnaud Bailly,18,85,-,25,23,-,bel
483,Ryan Nijboer,24,85,-,30,-,-,ned
484,Ulises Blanch,25,84,-20,12,-,-,usa
485,Luka Mikrut,19,84,+1,19,5,-,cro
486,Bor Artnak,19,84,-,26,-,-,slo
487,Nicolas Zanellato,22,84,+2,30,-,-,bra
488,Nam Hoang Ly,27,83,-,19,8,-,vie
489,Ernesto Escobedo,27,82,-,12,-,-,mex
490,Kenny De Schepper,36,82,+2,20,14,-,fra
491,Kirill Kivattsev,26,82,+1,32,14,1,rus
492,Martyn Pawelski,19,81,+6,20,-,-,pol
493,Jelle Sels,28,81,-,24,-,-,ned
494,Evgeny Karlovskiy,29,80,+15,19,-,-,rus
495,Antoine Hoang,28,80,+2,19,18,-,fra
496,Yurii Dzhavakian,30,80,-,30,-,-,ukr
497,Gabi Adrian Boitan,24,79,+20,21,-,-,rou
498,Nikolay Vylegzhanin,23,79,+1,26,25,-,rus
499,Alex Marti Pujolras,25,79,-,31,15,3,esp
